change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999978,1.1102230246251565e-16,1.0000000000000002,0.0
2,0.98859786426926755,0.0010638148872431741,0.98201812368865471,0.0046640971721084792,0.99832425756025778,0.0010562172987293205,1.0000000000000002,0.0
4,0.97751519165586731,0.0011411542190793691,0.96356313854463504,0.0065434287161182771,0.99661465296217666,0.0013633192415020618,0.99996395043518294,0.00010814869445182617
6,0.96664334695875787,0.0011431410094420961,0.94570840819237745,0.006035230058909844,0.99395430996700751,0.0014270132757860676,0.99989021565357894,0.00016775152873728784
8,0.95647073353175005,0.0010862571097004043,0.92889768187019417,0.0050893346654907407,0.99132473710930746,0.0026003979238564002,0.99964111501815034,0.00052275501239974135
10,0.94683711418511618,0.0016111575326748259,0.92071046817831426,0.0064087441655825772,0.98987261115290548,0.0023380845616549637,0.99953458571624743,0.00052366915699422745
12,0.93800484191872679,0.0014932334036704062,0.91511692218038709,0.0041626150300506839,0.98831928990948126,0.0025448513865841595,0.99926580439432688,0.00064952944264060845
14,0.92957900745934641,0.0014160903544595108,0.90910273561920962,0.004722816582586207,0.98651254273056777,0.0026720995607788962,0.99912479332406501,0.00066425058854184744
16,0.92132566271408012,0.0015103399736901631,0.90509839388673063,0.0066773228342329643,0.98393710364681386,0.0024079490351036929,0.99896253213798403,0.00064584085058303452
18,0.91298141349258233,0.0015313975058529618,0.89972888924742311,0.0068394726416733552,0.98056186119433431,0.0027750696959951858,0.99864776264784361,0.00069646867816073482
20,0.90586453445408155,0.0016500245429860358,0.89389636969317299,0.0077745162067847685,0.97630345646188632,0.002967543633150032,0.9985428793492851,0.00078966423835970592
22,0.8984803785097617,0.0017978508260315417,0.88610295493196711,0.010727559275043893,0.97322247137757412,0.0033241739245572386,0.99842815952519393,0.00085058879430966166
24,0.89151804498598552,0.0018369605894932063,0.87566399898597935,0.0097899434234361652,0.97011336774116219,0.0036526067667112267,0.99839042739640094,0.00088093172578031405
