missing,truss2,truss4,truss6,truss8,truss10
35,0.6012509773260359,0.44070324150380663,0.3339861281109751,0.2818595578673602,0.20675058482789352
40,0.5208395982438203,0.3619810062004552,0.2478172174622603,0.19462505418292153,0.12777097025732428
45,0.45257713357791546,0.2739973314496507,0.1813137494900041,0.135457303857824,0.06906538932828339
50,0.37397004871594397,0.20948120241739268,0.10461036311709507,0.07433896835717382,0.030076863094575024
0,1.0,1.0,1.0,1.0,1.0
5,0.9556143621819931,0.9278706537948356,0.8962872297021623,0.8874078890333766,0.8374735435000557
10,0.9018463944187165,0.8466368416921749,0.788984088127295,0.7711313394018205,0.7045783669377298
15,0.8527695916280749,0.7900478769327368,0.6886168910648715,0.6874729085392285,0.5922914113846497
20,0.7934083117820413,0.6961776940585511,0.590452876376989,0.5780234070221066,0.4774423526790687
25,0.7349491790461298,0.6258535436778903,0.4999592003263974,0.4767013437364543,0.364041439233597
30,0.6658447104107776,0.5261753394553018,0.4110975112199102,0.35988296488946686,0.27425643310682857
35,0.6118963132254767,0.44761007770190725,0.32215422276621786,0.290962288686606,0.19661356800712934
40,0.5248090455283575,0.3653559375245271,0.24626682986536108,0.1952752492414391,0.1384649660242843
45,0.45991459674024177,0.2820029824974492,0.17470420236638107,0.12180320762895536,0.07418959563328506
50,0.3776387802971071,0.20131857781963738,0.11962464300285598,0.07076289553532726,0.03876573465523003
0,1.0,1.0,1.0,1.0,1.0
5,0.9562157935887412,0.9292049289694686,0.889922480620155,0.8770047680970958,0.8418179792803832
10,0.9051542671558309,0.8524448630405776,0.7804161566707466,0.7818595578673602,0.6895399353904422
15,0.8489204306248872,0.7780394003610391,0.6904120767033863,0.6921326397919376,0.5895065166536705
20,0.7923858783905695,0.6968840750333569,0.5839249286005712,0.5747724317295189,0.46663696112286956
25,0.7345281770614062,0.6227140726787537,0.49808241534067726,0.4752925877763329,0.3736214771081653
30,0.6749263246526733,0.5357507260026686,0.40709914320685436,0.3689856957087126,0.2869555530800936
35,0.6020328381548085,0.4434502786280512,0.3204406364749082,0.26842219332466405,0.20363150272919683
40,0.5356348108498226,0.36213797975041206,0.24920440636474908,0.1846553966189857,0.13456611340091346
45,0.456426294581103,0.2834157444470607,0.1740514075887393,0.12602947550931945,0.07296424195165423
50,0.3737896192939195,0.206341731418256,0.11015911872705018,0.07303857824013871,0.03130221677620586
0,1.0,1.0,1.0,1.0,1.0
5,0.9529680639923017,0.931716505768778,0.8942472460220319,0.8853489380147378,0.8433775203297316
10,0.9002225296204968,0.8490699317165058,0.7854753161974705,0.7857607282184655,0.6985629943188147
15,0.8579419017261082,0.7778039400361039,0.6897592819257446,0.6771781534460338,0.586498830344213
20,0.8018884946171889,0.6935876304842634,0.5924112607099143,0.563935847420893,0.4625153169210204
25,0.7358513261562519,0.6150223687308688,0.5033863729090168,0.4743172951885566,0.36883145817088114
30,0.6766704757322427,0.531120006278942,0.4180334557323541,0.3713697442566103,0.2899632393895511
35,0.6003488302159139,0.4421160034534181,0.3353733170134639,0.2716731686172518,0.20652779324941517
40,0.5338305166295784,0.35962640295110276,0.25018359853121175,0.18389683571738188,0.1269911997326501
45,0.4488482588560775,0.2884388980456793,0.1733986128110975,0.11931079323797139,0.07496936615795922
50,0.3772779214530583,0.20218193234439996,0.1109751121991024,0.07423060251408756,0.029742675726857525
0,1.0,1.0,1.0,1.0,1.0
5,0.9592830937631563,0.9190801349972529,0.8937576499388005,0.8826397919375812,0.8433775203297316
10,0.9074397065014735,0.8476571697668943,0.7834353325173399,0.7814260944950152,0.7078088448256656
15,0.8583629037108318,0.7856526175339456,0.6824153406772746,0.682271348071088,0.5868330177119305
20,0.7985204787393998,0.695392826308767,0.593390452876377,0.570654529692241,0.4815639968809179
25,0.7350694653274794,0.6119613845067107,0.503467972256222,0.47074122236671,0.3659351676506628
30,0.673482889276478,0.5267247468801507,0.4076703386372909,0.3806892067620286,0.2753703909992202
35,0.599687255668491,0.4470606702770583,0.3206038351693186,0.2783918508885999,0.203742898518436
40,0.5322066518313586,0.3702221175731889,0.2579355365157079,0.19148244473342002,0.1373510081318926
45,0.4544415709388344,0.2689741778510321,0.1783761729906161,0.12245340268747291,0.0780884482566559
50,0.3737294761532447,0.19535358292127777,0.11489188086495308,0.07032943216298222,0.026957780995878356
