missing,core2,core4,core6,core8,core10
0,1.0,1.0,1.0,1.0,1.0
5,0.9794789695823024,0.9409668077522834,0.8860148514851485,0.8244292237442923,0.769680611785875
10,0.9611895405811867,0.8866117175317443,0.7965346534653466,0.6842465753424658,0.5713000449842555
15,0.9357686896618639,0.8263904358803,0.6913366336633663,0.5728310502283105,0.4336482231219073
20,0.9132101101246786,0.7645355312987302,0.5988861386138614,0.47328767123287674,0.33468286099865047
25,0.8902634259933052,0.707135961981139,0.534529702970297,0.3710045662100457,0.21637426900584794
30,0.8609130160578276,0.6458008465137002,0.4379950495049505,0.2728310502283105,0.1313540260908682
35,0.8237520011643138,0.5845399866339942,0.3532178217821782,0.21506849315068494,0.07692307692307693
40,0.7862999078251589,0.5174871909111161,0.27252475247524754,0.11484018264840183,0.03958614484930274
45,0.7495755106001067,0.44382564788000295,0.2155940594059406,0.07465753424657534,0.026090868196131354
50,0.7071265706107797,0.3816737209475013,0.15321782178217822,0.040639269406392696,0.0
0,1.0,1.0,1.0,1.0,1.0
5,0.9814680056275166,0.9415608524541472,0.8810643564356435,0.8246575342465754,0.7462887989203779
10,0.9606073836899044,0.8850523501893518,0.781930693069307,0.6965753424657535,0.5946918578497525
15,0.936156794256052,0.8274300141085617,0.6889851485148515,0.5636986301369863,0.4552406657669816
20,0.9120943094163877,0.7649810648251281,0.6043316831683169,0.4324200913242009,0.3427800269905533
25,0.8865279192742445,0.704314249647286,0.5280940594059406,0.3495433789954338,0.21052631578947367
30,0.8533934895454325,0.6524838494096681,0.4417079207920792,0.2785388127853881,0.15789473684210525
35,0.8268083248435454,0.5865448875027846,0.3579207920792079,0.18105022831050227,0.0931174089068826
40,0.7902779799155872,0.5202346476572363,0.2742574257425743,0.1461187214611872,0.037786774628879895
45,0.7479745791490807,0.450285884012772,0.20693069306930692,0.0867579908675799,0.012595591542959963
50,0.7087760151360791,0.3769213633325908,0.15383663366336633,0.04223744292237443,0.0
0,1.0,1.0,1.0,1.0,1.0
5,0.9794789695823024,0.942229152743744,0.8870049504950495,0.8289954337899543,0.753936122357175
10,0.9610440013583661,0.8826019157941635,0.7793316831683168,0.678082191780822,0.5596041385515069
15,0.9366419249987872,0.8274300141085617,0.7042079207920792,0.5694063926940639,0.46243814664867294
20,0.9086498811429681,0.7724808791861587,0.617450495049505,0.45251141552511415,0.32298695456590193
25,0.8821617425896279,0.7088438404989975,0.525,0.3598173515981735,0.23751686909581646
30,0.8555765778877408,0.6507017153040766,0.4511138613861386,0.27031963470319637,0.16419253261358524
35,0.8220540435647407,0.5759263384569688,0.3722772277227723,0.20730593607305936,0.10661268556005399
40,0.7861058555280648,0.5157050568055246,0.27784653465346537,0.1319634703196347,0.038686459739091315
45,0.747537961480619,0.4450137372837306,0.2162128712871287,0.07009132420091324,0.011695906432748537
50,0.7090185805074467,0.38018860919284175,0.14294554455445543,0.04337899543378995,0.0
0,1.0,1.0,1.0,1.0,1.0
5,0.9814194925532431,0.9369570060147026,0.8955445544554456,0.8378995433789954,0.7606837606837606
10,0.9589094260903314,0.8793346699339125,0.7964108910891089,0.6821917808219178,0.5874943769680612
15,0.9355746373647698,0.8273557585208287,0.7040841584158416,0.5538812785388127,0.45434098065677014
20,0.9104448648910881,0.7761194029850746,0.6040841584158416,0.45958904109589044,0.30589293747188484
25,0.8846359093775773,0.7064676616915423,0.5293316831683168,0.3730593607305936,0.2316689158794422
30,0.8553340125163732,0.6546372614539244,0.44133663366336634,0.27557077625570775,0.15429599640125957
