change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.96406575567954644,0.026737747090684442,0.98778718939017995,0.012124713225814779,0.96644654661336982,0.047433295339348557,0.98835720975712671,0.016351864504327237
4,0.94591830758431628,0.035072855616841259,0.98059520223852259,0.015687309717547244,0.94080157043223944,0.069378916646863339,0.97926455601290363,0.020154336083627229
6,0.92819000648070449,0.05329887158381591,0.97583522473171203,0.020999159866383149,0.93466818342190672,0.071471084819698577,0.96776837470170807,0.053749965399894635
8,0.91073350031613864,0.068096494388546869,0.96811921623604547,0.028183873382582578,0.91151589832634872,0.10993750173320933,0.94325538172794388,0.085991316244492078
10,0.8954770068980068,0.078165096159068456,0.96395577630903762,0.02963285718028838,0.91711232578905444,0.088934313849587443,0.9326526060579603,0.090469992410335681
12,0.87147264263050883,0.096305753644130951,0.95667510045300541,0.03244700119812019,0.91109673040461048,0.084025360055607665,0.93730018472884047,0.085002806578207454
14,0.86470415312771487,0.094103512569318648,0.95447567253533205,0.030189050107881629,0.90626925388299573,0.10303871721039283,0.94320294686153205,0.077413978327089461
16,0.85355860392329086,0.094460497413430086,0.94903559257055936,0.035047255583718406,0.92810652797485849,0.048537527518176783,0.94162694369643185,0.071242241863535519
18,0.82945422913102895,0.095668983020634382,0.93148248299274317,0.039567866626782799,0.88252151608359186,0.10327973154053303,nan,nan
20,0.81639272179726885,0.10887524292209594,0.9250916565084939,0.044665698514747415,0.87436493093781764,0.12092513958280506,0.89093329958956224,0.11045531605439418
22,0.80560963872609492,0.11658964374805361,0.91907299390196595,0.040269070358970517,0.83963487962054839,0.13589963942105421,0.90333303669987575,0.096819607136733377
24,0.78124649984741068,0.12147652606605015,0.90502852652178434,0.04479832716461786,0.83730498524544961,0.12169566943106495,0.88666528478506001,0.0967263706068964
26,0.74811339694887624,0.10295447860675738,0.89064406125418483,0.045793947311835004,0.85910651516058834,0.090882554486515083,0.89172993695930691,0.095818648493618139
28,0.73578281442962512,0.11954069418598562,0.88787111689660669,0.045403204280738303,0.86240675757133434,0.072470849284852548,nan,nan
30,0.73656733996949153,0.10753880075529614,0.88506044900223912,0.049943633348489246,0.85749968779844199,0.071520054842343819,nan,nan
32,0.73008391683756646,0.10134852694274177,0.89528218722948838,0.049270473520712788,0.83773912251895555,0.0773834944802161,nan,nan
34,0.70135335322391756,0.13688122687843998,0.83287523331234858,0.11333953689099784,0.80094210437948177,0.095116625664998372,nan,nan
36,0.68331030463384157,0.15024817773192278,0.81816217981789197,0.11746219508548496,0.79859581374504163,0.091062883711467202,0.82105484831056774,0.15613257826969726
38,0.66441564243475426,0.14667059398657631,0.80315030737118764,0.11645406702930451,0.80282522310952298,0.084156636670984331,nan,nan
40,0.63742887809120541,0.13863925737864063,0.78382174931665993,0.12042618600124491,0.77393597634250944,0.081912802701142068,nan,nan
42,0.63193242266774141,0.12527292244726454,0.77828682518052328,0.1129989076083644,nan,nan,nan,nan
44,0.54510991015170274,0.13576465779250252,0.7073773588210136,0.13297680310964571,0.7357751126978338,0.084530895362036798,nan,nan
46,nan,nan,nan,nan,nan,nan,nan,nan
48,nan,nan,nan,nan,nan,nan,nan,nan
