change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0,0.0,1.0,0.0,0.99999999999999978,1.1102230246251565e-16,1.0,0.0
2,0.98364246630950825,0.00056940081945565759,0.94654994596146691,0.0059016536244156379,0.93762132449767677,0.0090634309353847566,0.91956752468063563,0.01683018923101838
4,0.9681016729198838,0.0010670913336716555,0.91062328212349952,0.0039456091466777785,0.89644806618442308,0.0088531676869503823,0.86850385031484179,0.018046457487140351
6,0.95480617804734513,0.0011884225051341545,0.88072454012200985,0.0043449659579978921,0.86011493074988576,0.0081436643331250363,0.829493348336652,0.016713564788514785
8,0.94242452654764752,0.001378804999918539,0.85960846837907801,0.0032528483783359321,0.83623146006158477,0.0054404962313651462,0.8063510435712834,0.01677718382806655
10,0.93016187702703412,0.0012970726191101341,0.83758228741074503,0.0060008621049830648,0.81153397187668896,0.0070058730107527634,0.77149312011467119,0.026945156300346201
12,0.91885768717564587,0.0015006095508919165,0.82073708513879828,0.0072521020943159889,0.78990591373988417,0.010851515641098718,0.75082164887298497,0.033594125001659154
14,0.90751905529511423,0.0013918152926768828,0.80056033906986757,0.0087802127760989532,0.7654790955641666,0.010103293776134734,0.72504312264343329,0.023646256368132782
16,0.89693034462504373,0.0016245137127042883,0.78325537821074565,0.0088151926514830371,0.75001529686915414,0.010248776443129829,0.71049362391680571,0.026820742082153671
18,0.8857235887349203,0.0015500623579778844,0.76738065701934599,0.0123745012060856,0.73521443526140595,0.015441210719434233,0.6936150662875018,0.016487156436352835
20,0.8746507453674367,0.001519897139406826,0.75011357834942394,0.013788838315559904,0.72449939643682115,0.018064196942708027,0.68321990444082392,0.016695486728346455
22,0.86399898367716355,0.0019092850622429668,0.73342003993140159,0.01319252781375582,0.70422410710105487,0.015636399456226278,0.66471718886999098,0.022603000081107567
24,0.85338385340694844,0.0021740813876910468,0.72354760092166726,0.015028416441662256,0.6891344376990689,0.013938170786536419,0.64623326768516387,0.027010496746225871
26,0.84304008825584253,0.0028053291857025354,0.71528782216618414,0.015730601380772917,0.67451243966420982,0.013281735538667239,0.62454554728077283,0.02416657981098003
28,0.83205275804370071,0.0028628040737096968,0.70367959409185932,0.016655952458095983,0.65176703941713432,0.018889782445074013,0.60948803265745899,0.020632793715283707
30,0.82101988187480279,0.0024739969369648321,0.69202307105471983,0.01743057330362547,0.63989142288355683,0.021277451334374246,0.59405596875252642,0.02060942626651421
32,0.81051361097534724,0.0026321167403721485,0.68150938202269384,0.016826608153175864,0.63139595899506629,0.019906743978435691,0.58222191141263935,0.025541473308298687
34,0.79972667254064289,0.0032212945391845486,0.66959006018750089,0.01696880157166334,0.61890457454037207,0.018858028826611011,0.57004611308371911,0.034555423809816251
36,0.78966156963062806,0.003220289941027926,0.6601693070205441,0.017348252060112701,0.61079319293028234,0.019491966871022226,0.56429748531909729,0.03140616590359082
38,0.7789961326069369,0.0032226644626413511,0.64452141664014417,0.018336354918247488,0.59331542583889874,0.022492504957371005,0.55280169257744038,0.040005189749599442
40,0.7682207428726946,0.0033230149994212112,0.63341471638716063,0.019061416550647709,0.58252612300437412,0.020600517768961685,0.54449165577835967,0.040269750503999148
42,0.7576151124173307,0.0037648871917766746,0.62208045318702421,0.020181727705538756,0.56851398233167394,0.022220231484433303,0.52967377817132699,0.037938767276608006
44,0.74510584924648238,0.0041320539698464802,0.61464172621844226,0.017991211009144883,0.55416216383886463,0.024393369505564619,0.52702536486810614,0.03435359266227108
46,0.73373997885494513,0.0041988151669358166,0.60560783480007174,0.016728544983778106,0.53992542268524746,0.021767456515213265,0.51129788990134062,0.037547081787512766
48,0.72297619774070476,0.003659506754010351,0.59781204251153697,0.015695216523863305,0.5280544313965958,0.021849420597418606,0.4973972179226977,0.037204408784139678
50,0.7112078845106905,0.0032841152849754926,0.58862990088795908,0.014278548520237248,0.52348093707804666,0.020105616329872133,0.49182317336403214,0.041138823216659244
52,0.70022739221507746,0.0038284720806748612,0.57919312225963626,0.010612995514114019,0.5202951942639048,0.020262549783296148,0.48483318601785463,0.03885059254732779
