truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,313.0,336.69999999999999,334.60000000000002,332.10000000000002,329.10000000000002,326.60000000000002,323.89999999999998,319.10000000000002,314.5,311.60000000000002,308.5,305.80000000000001,302.89999999999998,299.89999999999998,296.30000000000001,293.60000000000002,288.19999999999999,285.5,281.10000000000002,276.10000000000002,272.5,268.30000000000001,264.5,259.69999999999999,257.10000000000002
4,725.0,701.29999999999995,703.39999999999998,705.89999999999998,708.89999999999998,711.39999999999998,714.10000000000002,718.89999999999998,723.5,726.39999999999998,729.5,732.20000000000005,735.10000000000002,727.89999999999998,731.5,729.0,731.10000000000002,733.0,735.29999999999995,728.89999999999998,732.0,735.60000000000002,738.89999999999998,742.39999999999998,744.79999999999995
