change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0.94668143295443508,0.001998582958797976,0.87503545880510847,0.015232502555736084,0.85609560525209538,0.024644050915903888,0.83645021645021644,0.039796967930351895
4,0.89979277205260799,0.0018388743616943373,0.78208865986609177,0.010391786585767341,0.75013082367302608,0.025194608796071251,0.70860228583411977,0.048249638676237584
6,0.86116763749852665,0.0028173374035170094,0.71231089143618331,0.012628462975567729,0.67137766527989085,0.025574671640356469,0.62230470797944848,0.046091133727129481
8,0.8269641470906347,0.0034116028815951438,0.65792857760484225,0.012771789468918271,0.61496266775574204,0.028898594901390729,0.57761560239068888,0.03859608993979885
10,0.79824326276976887,0.0028589582609317953,0.62673279349388289,0.0087417609248025985,0.59126593034406105,0.024238414785062626,0.5530643059362782,0.039199973183873117
12,0.7732479905739883,0.0030855289391453797,0.61160433273740666,0.0072675843318938359,0.57688706977412163,0.02392176758924951,0.52354678769903684,0.037983499894377035
14,0.74924858649433357,0.003543614857992981,0.59083103025204209,0.0091801426893208492,0.54232815274580115,0.02518603706555184,0.47682080318758518,0.050549597697025966
16,0.72603212225442615,0.0044088664908537101,0.56433503698250775,0.016117725647175032,0.50114061188677794,0.035239433119284028,0.4598762713641607,0.041221319645203564
18,0.70518438690372598,0.0036130738972440161,0.5292882298641054,0.012966399549919924,0.47600803043426881,0.027559164593146564,0.45267095073323443,0.039649567945326772
20,0.68528390079633406,0.0031673298155350991,0.50574934155945839,0.01089106202848005,0.47009919860215393,0.021840746284404151,0.43866205305651673,0.045425953460255471
22,0.66761488646066869,0.0044540742910115297,0.51215085591428,0.013031060887635625,0.46032931063628624,0.017916444779042938,0.39064485687323058,0.040068170915477222
24,0.64999214751169887,0.0038888380133015187,0.50437352216029252,0.016157623440307366,0.44214698926034135,0.028226122095911108,0.38755403765784391,0.035477926260071464
26,0.6331251680628649,0.0039874381089101043,0.48832590411423099,0.016319102677595274,0.40679924063926326,0.028642295208181321,0.40305217274075406,0.038750853006511654
28,0.61533577391003069,0.0049222812571510987,0.4599021745480889,0.018596569929163954,0.40392987133054181,0.023957800614835004,0.38760736380113536,0.031683586199530392
30,0.59864340225912238,0.0052986333322416861,0.42919006788890063,0.020106525484452076,0.40329983828428756,0.020767349645239918,0.33627346125616026,0.044590454103122915
32,0.58293405495007689,0.0051596236197593058,0.43567008564985221,0.017827047123829792,0.386037695768015,0.02322510038613218,0.32672927994727308,0.050583216255760767
34,0.5665304898707666,0.0048238950404305547,0.43851858706955982,0.013464524429076719,0.36473258564126032,0.028546674771009199,0.33971988795518204,0.041670256884962877
36,0.55034725453095068,0.0054017210598339528,0.42584416634533362,0.015398638004877927,0.33393479311309482,0.032099653559810044,0.31542803217543702,0.047019630262216588
38,0.53264962778141323,0.0059175929756490938,0.39666320328110205,0.020309855969010176,0.35705834481499932,0.022769094494896312,0.286950074147306,0.048734277764029429
