change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,0.99999999999999978,1.1102230246251565e-16,0.99999999999999978,1.1102230246251565e-16,0.99999999999999978,1.1102230246251565e-16,0.99999999999999978,1.1102230246251565e-16
65,nan,nan,nan,nan,nan,nan,nan,nan
35,0.36225291567886148,0.073667833896842894,0.36225291567886148,0.073667833896842894,0.36225291567886148,0.073667833896842894,0.38481573923417978,0.081750703298862692
5,0.86848957026718687,0.032517914543955105,0.86848957026718687,0.032517914543955105,0.90467468674511164,0.024450063194760306,0.94721925527371498,0.016521036119792342
70,nan,nan,nan,nan,nan,nan,nan,nan
40,0.29737818977606045,0.057378864706659781,0.29737818977606045,0.057378864706659781,0.29737818977606045,0.057378864706659781,0.29824895941855978,0.058190765118022451
10,0.7334246781870678,0.027337172114843922,0.7334246781870678,0.027337172114843922,0.77534939360359512,0.026091947227550354,0.85741536733150325,0.022418853949593628
75,nan,nan,nan,nan,nan,nan,nan,nan
45,0.27059977149025805,0.050093253390054993,0.27059977149025805,0.050093253390054993,0.27059977149025805,0.050093253390054993,0.27059977149025805,0.050093253390054993
15,0.64584144716773395,0.018605087965734297,0.64584144716773395,0.018605087965734297,0.66542180013126162,0.020277046217404789,0.78282024404818729,0.017797693760910446
80,nan,nan,nan,nan,nan,nan,nan,nan
50,nan,nan,nan,nan,nan,nan,nan,nan
20,0.54530247836035373,0.039330045850596622,0.54530247836035373,0.039330045850596622,0.54564499769816732,0.040064525442947467,0.67424304268689539,0.040723464519840241
85,nan,nan,nan,nan,nan,nan,nan,nan
55,nan,nan,nan,nan,nan,nan,nan,nan
25,0.46701416656473577,0.05749946690138074,0.46701416656473577,0.05749946690138074,0.46701416656473577,0.05749946690138074,0.56377360357178408,0.063596929026138865
60,nan,nan,nan,nan,nan,nan,nan,nan
30,0.41531762608031669,0.060892745560996026,0.41531762608031669,0.060892745560996026,0.41531762608031669,0.060892745560996026,0.47611278211366048,0.067381348048623779
