core_number,missing_0,missing_2,missing_4,missing_6,missing_8,missing_10,missing_12,missing_14,missing_16,missing_18,missing_20,missing_22,missing_24,missing_26,missing_28,missing_30,missing_32,missing_34,missing_36,missing_38,missing_40,missing_42,missing_44,missing_46,missing_48
1,0,4.1111111111111107,14.0,28.5,50.399999999999999,78.900000000000006,112.3,161.59999999999999,216.5,277.69999999999999,349.5,433.89999999999998,525.70000000000005,622.20000000000005,736.79999999999995,869.0,1018.0,1179.5,1352.7,1535.8,1739.0999999999999,1971.0999999999999,2213.0,2497.1999999999998,2783.8000000000002
2,0,455.39999999999998,889.10000000000002,1363.5999999999999,1809.5999999999999,2275.5999999999999,2741.6999999999998,3173.4000000000001,3610.4000000000001,4073.8000000000002,4538.3999999999996,4954.8000000000002,5374.5,5776.8000000000002,6083.1999999999998,6355.6000000000004,6598.5,6809.5,6999.3999999999996,7131.1999999999998,7240.8999999999996,7308.6999999999998,7313.1000000000004,7297.8999999999996,7244.1999999999998
3,7971.0,7743.8999999999996,7532.8999999999996,7280.1000000000004,7063.5,6829.8999999999996,6572.0,6346.6000000000004,6077.6999999999998,5794.6000000000004,5472.6999999999998,5184.1999999999998,4880.1000000000004,4592.1999999999998,4330.5,4073.5,3830.5999999999999,3607.5999999999999,3385.9000000000001,3180.5999999999999,2945.6999999999998,2727.6999999999998,2538.1999999999998,2306.5,2094.1999999999998
4,2977.0,2907.8000000000002,2790.3000000000002,2690.5999999999999,2569.8000000000002,2408.0,2285.1999999999998,2134.5,2033.3,1884.0999999999999,1762.7,1614.3,1493.3,1363.7,1260.0999999999999,1156.3,1037.4000000000001,916.79999999999995,790.60000000000002,697.20000000000005,611.79999999999995,505.30000000000001,418.19999999999999,342.10000000000002,273.19999999999999
5,1193.0,1096.2,1050.3,981.89999999999998,913.39999999999998,858.20000000000005,788.5,721.89999999999998,661.29999999999995,594.10000000000002,535.20000000000005,483.80000000000001,406.10000000000002,335.60000000000002,286.30000000000001,246.5,211.90000000000001,175.0,150.19999999999999,123.5,108.5,102.8,102.90000000000001,87.299999999999997,83.0
6,479.0,427.10000000000002,380.5,323.30000000000001,286.80000000000001,260.60000000000002,221.90000000000001,202.40000000000001,152.30000000000001,141.30000000000001,117.09999999999999,109.5,102.09999999999999,95.700000000000003,81.5,66.299999999999997,77.200000000000003,73.700000000000003,71.5,74.666666666666671,67.0,63.571428571428569,61.5,54.0,34.0
7,123.0,114.5,99.0,102.59999999999999,87.099999999999994,84.599999999999994,84.799999999999997,75.799999999999997,70.700000000000003,57.799999999999997,56.799999999999997,49.0,48.700000000000003,59.0,60.100000000000001,57.200000000000003,58.285714285714285,52.5,52.75,56.0,39.0,15.0,0,0,0
8,57.0,58.899999999999999,60.399999999999999,55.899999999999999,50.899999999999999,44.600000000000001,37.700000000000003,33.299999999999997,39.899999999999999,48.600000000000001,49.444444444444443,57.111111111111114,57.375,53.75,44.333333333333336,38.666666666666664,14.0,14.0,0,0,0,0,0,0,0
9,35.0,36.799999999999997,37.799999999999997,31.5,39.899999999999999,35.600000000000001,47.200000000000003,51.666666666666664,49.285714285714285,47.200000000000003,49.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,43.0,40.200000000000003,41.0,42.100000000000001,41.125,43.0,36.25,27.0,24.5,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
