change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0.92613826729377868,0.019397202000718667,0.91458865643667298,0.13851725445700172,0.8402514804158866,0.07647154713038741,0.45102554699914438,0.19598907381635505
4,0.86421680331711992,0.0019512809246106941,0.50614233195474623,0.013448922666021499,0.63711010640727039,0.037403708154160706,0.31384671800513381,0.14065357226464026
6,0.85117791217710548,0.001590535104983787,0.5216784025327259,0.013854656947956397,0.64508928163675383,0.032339653865581942,0.370964429776311,0.12752072397539199
8,0.83877581179714811,0.0025836960523305252,0.53379678404054065,0.014931834929758201,0.65334733829596148,0.037525696220261584,0.40093876054272093,0.14636256573768194
10,0.82597651093631552,0.0036922948123193338,0.54841822534232043,0.018371755230693995,0.6489089829657031,0.04074543447708965,0.38578902334677911,0.16114861246722542
12,0.8145004690382992,0.0046892176899312431,0.55415595707084342,0.019675550271467685,0.62995539723858673,0.036761951164630741,0.30074563011856742,0.14794429551990079
14,0.80303579807990189,0.0056022783110515496,0.57071649763317622,0.025949649375048178,0.63190269595530579,0.030009466092622693,0.31191541376359855,0.11897860138098583
16,0.79083854762219108,0.0054752803502503529,0.60073313348004109,0.024561978171527912,0.63072018998036261,0.021631636629010905,0.27277105488326614,0.09463257973018388
18,0.77670876247130671,0.0050157257778526343,0.63602775227421238,0.032257222210179994,0.65194136183038764,0.024296567126777871,0.28161349468280161,0.084357108273947753
20,0.75991739021557758,0.0056158740590927627,0.68594259529860468,0.031114730274326145,0.67859463244584506,0.022830414360502527,0.32122234445666792,0.098816180968435044
22,0.72733908134825942,0.0138886023106869,0.6423093628554325,0.14564780482621886,0.66194334079249817,0.092677276235051606,0.34844151081774849,0.098044784529352336
24,0.6918434491510792,0.0042646106882555041,0.35719102926981033,0.013831914486239411,0.49368406631045347,0.022454903255413525,0.29568512406796238,0.08656994708002598
26,0.68485332193056125,0.0066876397271897099,0.37040462304631488,0.022991284181962422,0.50912240641792628,0.028065393815238832,0.34740007334066747,0.089486217404596738
28,0.67628338177129332,0.0060454344793166703,0.38253121978714943,0.022547523159769531,0.51421047023184296,0.027458106513565207,0.3589830094120523,0.084827309291202441
30,0.66611201551894217,0.0059064875147193576,0.40133482323176617,0.022864142737842832,0.52059429754456477,0.028240409661935296,0.39548221488815555,0.057842485354876232
32,0.65556696416124238,0.004997983164251707,0.411494784468037,0.027669769793674942,0.5210911692621516,0.031696074274841189,0.41989243368781326,0.06763948749199078
34,0.64569132393485273,0.0068528939320180171,0.43123309886956873,0.037815065021214914,0.52913915148193813,0.035408768950742082,0.46025669233590027,0.047397410006181896
36,0.63098008660382665,0.0075813766544057734,0.46149360542996465,0.038579550838226506,0.53709031678616548,0.034150021501439295,0.46289451167338963,0.042995001912184243
38,0.61128236970738614,0.0078438814468266317,0.47269325004506968,0.040986972620840612,0.5578590674521624,0.046256819260025277,0.48634885710793307,0.043705778159746057
40,0.59157360439524731,0.0083438224970788077,0.45391961698758065,0.031395724965510283,0.57961364570489105,0.044625712591013895,0.50665199853318665,0.052934138593490679
42,0.56512072531702606,0.015053688806833668,0.37236608599675497,0.066832188276641821,0.55703947268271148,0.072117525062404167,0.52036914802591361,0.037888078786837989
44,0.53458698029527263,0.010137405750955389,0.24056423437451269,0.046458873851193135,0.50221126181668718,0.10199942720626783,0.49370492604816035,0.061099553979417832
46,0.52300171023086517,0.0079942019755406581,0.2147598831915572,0.029245153642288788,0.35302552861122527,0.035826313693217683,0.43808825326977141,0.046395865002041403
48,0.51041078242609594,0.0094331312599420878,0.22863936724449677,0.042307967263341073,0.3410001370050692,0.040466554512899808,0.44616061606160617,0.044168607771681613
50,0.49730790580358608,0.010715161115900594,0.28699733993797494,0.040663626640750732,0.33788433727603479,0.036723187290620171,0.44698203153648697,0.035673895104694729
52,0.48082000978488837,0.011440682524932376,0.31631355110293308,0.028912332755821439,0.33209724315355227,0.034836972263875193,0.45781689280039117,0.052545931039848379
54,0.46039176749388433,0.017082129869823947,0.31235015757273332,0.036737469981347727,0.33605212281743313,0.054123506996232355,0.46077985576335412,0.046361196573237333
56,0.43639826923302688,0.017211427952941716,0.27313078727034434,0.029066513513638269,0.34013000258787351,0.048100155662027494,0.45677301063439685,0.039990945841902117
58,0.40618809570162329,0.019136665963938256,0.22522456871928323,0.02951228801341781,0.34243107883880586,0.049798197216226046,0.4420266471091554,0.067808065804418227
60,0.37404521044851868,0.027103354860893512,0.25177726677676093,0.034529890861413608,0.35389444520558372,0.039985982412759837,0.45350935093509354,0.058203930546920343
62,0.33231557542927348,0.030869870835308552,0.25488429833162313,0.03659374424411245,0.29080208856616585,0.046346732996113145,0.42555188852218551,0.049726121271425019
64,0.29240711961798138,0.024589665205732761,0.25620193042762568,0.02745803201758433,0.18162244447489004,0.067895246325200512,0.34775210854418781,0.057441143194127242
66,0.26856023317106914,0.018768196883228543,0.27123991447029622,0.016196095281079518,0.11284407300847912,0.062383757721329092,0.31278083363891945,0.063313127266056465
68,0.24024309421758638,0.012919081121927167,0.25217829185528107,0.01568400714029625,0.066760439025132817,0.042163103872497512,0.2613885833027747,0.057639502649865476
70,0.20872035569620118,0.028294792756269904,0.2121134510212391,0.029535793936836655,0.041739051011554097,0.063596110066715977,0.19722527808336388,0.092031924005936239
72,0.16502936560476736,0.046394566189687722,0.16502936560476736,0.046394566189687722,0.059847467689637848,0.098858217940725857,0.12781567045593448,0.1299724653706838
74,0.12673612845254126,0.05374744700378694,0.12673612845254126,0.05374744700378694,0.15089129408899241,0.09016833373964292,0.12315120400928983,0.132223711901996
76,0.082864574573913691,0.057870377890745138,0.082864574573913691,0.057870377890745138,0.17681691555920903,0.067286835366365927,0.11028480625840362,0.14110549737699765
78,0.028540313161137188,0.068726495962080095,0.028540313161137188,0.068726495962080095,0.12192842246274223,0.075335257693077043,0.081826182618261828,0.15095544056981153
80,-0.045660165261959769,0.076404087953693869,-0.045660165261959769,0.076404087953693869,0.0084754380356517663,0.082064495432322013,0.12921158782544923,0.13313328992190918
82,-0.12039187920157746,0.083735117882826629,-0.12039187920157746,0.083735117882826629,-0.1174367688709185,0.086193622775582845,0.095936927026035929,0.11512837382226292
84,-0.18634341566470755,0.08404407985165574,-0.18634341566470755,0.08404407985165574,-0.18634341566470755,0.08404407985165574,-0.024273316220510939,0.1171814481103509
86,-0.24687722645509788,0.075324031104672187,-0.24687722645509788,0.075324031104672187,-0.24687722645509788,0.075324031104672187,-0.16500672289451165,0.1014344107892393
88,-0.28178487802279856,0.05376935598672667,-0.28178487802279856,0.05376935598672667,-0.28178487802279856,0.05376935598672667,-0.26265641123898659,0.061796446062045138
