missing,truss2,truss4,truss6,truss8,truss10
0,1.0,1.0,1.0,1.0,1.0
5,0.8902340597255851,0.8857774502579219,0.8673550436854647,0.8737997256515775,0.8755186721991701
10,0.7901533494753834,0.7310243183492999,0.7656870532168387,0.7969821673525377,0.7468879668049793
15,0.6573849878934624,0.6484893146647015,0.6449563145353455,0.6790123456790124,0.7565698478561549
20,0.5887812752219532,0.582903463522476,0.5814138204924544,0.6337448559670782,0.6473029045643154
25,0.5391444713478611,0.47752394988946206,0.4551231135822081,0.5816186556927297,0.5297372060857538
30,0.45641646489104115,0.4001473839351511,0.414614773629865,0.47599451303155005,0.4896265560165975
35,0.3527037933817595,0.36551215917464996,0.30659253375694995,0.4156378600823045,0.4190871369294606
40,0.28934624697336564,0.29255711127487105,0.24384432088959493,0.35939643347050754,0.343015214384509
45,0.25746569814366427,0.2505526897568165,0.24225575853852263,0.2757201646090535,0.2918395573997234
50,0.23284907183212267,0.19380987472365513,0.20810166799046861,0.22770919067215364,0.22268326417704012
0,1.0,1.0,1.0,1.0,1.0
5,0.8950766747376917,0.894620486366986,0.8752978554408261,0.8820301783264746,0.8824343015214384
10,0.8022598870056498,0.7464996315401621,0.7942811755361397,0.7832647462277091,0.7994467496542186
15,0.6832122679580307,0.6484893146647015,0.6338363780778395,0.7325102880658436,0.6597510373443983
20,0.6069410815173527,0.5836403831982314,0.5687053216838761,0.6159122085048011,0.6500691562932227
25,0.529862792574657,0.4318349299926308,0.5067513899920572,0.578875171467764,0.5449515905947441
30,0.4075867635189669,0.40604274134119384,0.4312946783161239,0.4334705075445816,0.4730290456431535
35,0.403954802259887,0.2896094325718497,0.3471008737092931,0.43209876543209874,0.40110650069156295
40,0.324455205811138,0.28592483419307296,0.29229547259729943,0.37585733882030176,0.3872752420470263
45,0.26472962066182404,0.19970523212969787,0.2398729150119142,0.3017832647462277,0.2959889349930844
50,0.2066182405165456,0.21739130434782608,0.18506751389992057,0.2345679012345679,0.23651452282157676
0,1.0,1.0,1.0,1.0,1.0
5,0.9087974172719936,0.8621960206337509,0.8506751389992058,0.8902606310013718,0.8948824343015215
10,0.7994350282485876,0.7479734708916728,0.7450357426528992,0.7969821673525377,0.8118948824343015
15,0.6957223567393059,0.627855563743552,0.7084988085782367,0.6899862825788752,0.7247579529737206
20,0.609362389023406,0.548268238761975,0.6028594122319301,0.644718792866941,0.5615491009681881
25,0.5205811138014528,0.5070007369196757,0.4924543288324067,0.532235939643347,0.5200553250345782
30,0.4543987086359968,0.4089904200442152,0.36775218427323275,0.4732510288065844,0.48132780082987553
35,0.3870056497175141,0.3367722918201916,0.37887212073073867,0.4252400548696845,0.40387275242047027
40,0.29217110573042776,0.2748710390567428,0.3018268467037331,0.3292181069958848,0.32226832641770403
45,0.24778046811945117,0.22991893883566691,0.20810166799046861,0.32098765432098764,0.2918395573997234
50,0.21468926553672316,0.2417096536477524,0.18903891977760126,0.2167352537722908,0.26556016597510373
0,1.0,1.0,1.0,1.0,1.0
5,0.9035512510088781,0.866617538688283,0.8983320095313742,0.8930041152263375,0.8755186721991701
10,0.7889426957223568,0.7745025792188651,0.7704527402700556,0.7818930041152263,0.8229598893499308
15,0.6941081517352704,0.6772291820191599,0.6505162827640985,0.6844993141289437,0.6887966804979253
20,0.5976594027441485,0.5585851142225498,0.5647339158061954,0.6762688614540466,0.5892116182572614
25,0.523405972558515,0.4937361827560796,0.47180301826846704,0.5857338820301783,0.5518672199170125
30,0.4515738498789346,0.4016212232866618,0.38999205718824465,0.5445816186556928,0.44813278008298757
35,0.38054882970137205,0.3625644804716286,0.3494837172359015,0.42112482853223593,0.3872752420470263
40,0.3131557707828894,0.2660280029476787,0.28594122319301035,0.35939643347050754,0.37206085753803597
45,0.24858757062146894,0.22697126013264554,0.23193010325655283,0.3196159122085048,0.3112033195020747
50,0.20177562550443906,0.1915991156963891,0.1953931691818904,0.2757201646090535,0.24343015214384509
0,1.0,1.0,1.0,1.0,1.0
5,0.9035512510088781,0.8717759764185704,0.8816521048451151,0.8902606310013718,0.9114799446749654
10,0.8034705407586763,0.7641857037582903,0.7942811755361397,0.7846364883401921,0.7966804979253111
15,0.7094430992736077,0.6403831982313928,0.6608419380460683,0.6735253772290809,0.6998616874135546
20,0.6073446327683616,0.5445836403831983,0.5822081016679904,0.6172839506172839,0.6639004149377593
25,0.5387409200968523,0.43625644804716285,0.482922954725973,0.5061728395061729,0.5048409405255878
30,0.46166263115415657,0.37214443625644805,0.4495631453534551,0.44718792866941015,0.4702627939142462
35,0.37530266343825663,0.32940309506263815,0.35901509134233517,0.41975308641975306,0.4287690179806362
40,0.3454398708635997,0.3072955047899779,0.31056393963463064,0.3196159122085048,0.32503457814661135
45,0.25221953188054885,0.25128960943257184,0.24702144559173947,0.3333333333333333,0.3457814661134163
50,0.17393058918482648,0.1901252763448784,0.21207307386814933,0.24142661179698216,0.2821576763485477
0,1.0,1.0,1.0,1.0,1.0
5,0.8813559322033898,0.8901989683124539,0.8737092930897538,0.8943758573388203,0.8893499308437067
10,0.807909604519774,0.7369196757553427,0.7776012708498808,0.8106995884773662,0.8326417704011065
15,0.6977401129943502,0.6249078850405306,0.6743447180301827,0.7242798353909465,0.710926694329184
20,0.6142050040355125,0.5983787767133383,0.5321683876092137,0.6131687242798354,0.5947441217150761
25,0.5338983050847458,0.5092114959469418,0.4853057982525814,0.5720164609053497,0.5629322268326418
30,0.4596448748991122,0.423728813559322,0.4019062748212867,0.4691358024691358,0.5048409405255878
35,0.37126715092816787,0.3264554163596168,0.3169181890389198,0.37037037037037035,0.4094052558782849
40,0.30871670702179177,0.290346352247605,0.29864972200158857,0.35253772290809327,0.34439834024896265
45,0.24293785310734464,0.22991893883566691,0.23113582208101668,0.31412894375857336,0.28907330567081607
50,0.2179176755447942,0.17833456153279292,0.1938046068308181,0.27434842249657065,0.2572614107883817
0,1.0,1.0,1.0,1.0,1.0
5,0.8886198547215496,0.8651436993367723,0.880857823669579,0.8834019204389575,0.9045643153526971
10,0.784503631961259,0.7479734708916728,0.7664813343923749,0.8052126200274349,0.7883817427385892
15,0.6933010492332526,0.6757553426676493,0.6576648133439238,0.6982167352537723,0.7219917012448133
20,0.6109765940274415,0.522476050110538,0.5750595710881652,0.6460905349794238,0.5822959889349931
25,0.5238095238095238,0.45689019896831246,0.5313741064336776,0.5637860082304527,0.5670816044260027
30,0.4313962873284907,0.3831982313927782,0.42970611596505165,0.5171467764060357,0.49377593360995853
35,0.35996771589991927,0.30140014738393517,0.3510722795869738,0.41975308641975306,0.4315352697095436
40,0.29782082324455206,0.262343404568902,0.2637013502779984,0.3484224965706447,0.41217150760719223
45,0.26069410815173527,0.22328666175386883,0.24384432088959493,0.3045267489711934,0.2918395573997234
50,0.18523002421307505,0.18422991893883567,0.21445591739475775,0.26474622770919065,0.23236514522821577
0,1.0,1.0,1.0,1.0,1.0
5,0.9027441485068604,0.8872512896094326,0.8498808578236696,0.9094650205761317,0.8713692946058091
10,0.7804681194511703,0.7509211495946941,0.7410643367752184,0.7626886145404664,0.7856154910096819
15,0.7122679580306699,0.6691230655858511,0.7005559968228753,0.7407407407407407,0.7275242047026279
20,0.5807102502017756,0.6086956521739131,0.5814138204924544,0.6310013717421125,0.6459197786998617
25,0.5318805488297014,0.45541635961680177,0.49722001588562353,0.5349794238683128,0.5629322268326418
30,0.420500403551251,0.42593957258658804,0.4193804606830818,0.4224965706447188,0.47994467496542187
35,0.34826472962066185,0.31319086219602066,0.37410643367752183,0.4430727023319616,0.4260027662517289
40,0.3050847457627119,0.27708179808400885,0.28832406671961874,0.35939643347050754,0.318118948824343
45,0.24051654560129138,0.21296978629329402,0.23669579030976967,0.2716049382716049,0.30013831258644535
50,0.21388216303470542,0.20044215180545322,0.20015885623510724,0.2496570644718793,0.25587828492392806
0,1.0,1.0,1.0,1.0,1.0
5,0.8926553672316384,0.8739867354458364,0.8697378872120731,0.8532235939643347,0.8727524204702628
10,0.788135593220339,0.7781871775976419,0.7418586179507546,0.8244170096021948,0.7842323651452282
15,0.6977401129943502,0.6588061901252763,0.6743447180301827,0.6982167352537723,0.690179806362379
20,0.5891848264729621,0.582903463522476,0.5861795075456712,0.6652949245541838,0.6224066390041494
