missing,core2,core4,core6,core8,core10
30,0.7568807339449541,0.48391167192429024,0.625,0.6098765432098765,0.6573208722741433
35,0.7056574923547401,0.38738170347003154,0.5827464788732394,0.562962962962963,0.5981308411214953
40,0.667940876656473,0.30662460567823346,0.5757042253521126,0.5679012345679012,0.5327102803738317
45,0.6077981651376146,0.2782334384858044,0.45422535211267606,0.4148148148148148,0.45482866043613707
50,0.5667686034658511,0.23785488958990536,0.3996478873239437,0.4617283950617284,0.3862928348909657
0,1.0,1.0,1.0,1.0,1.0
5,0.9666156982670744,0.9003154574132493,0.903169014084507,0.9111111111111111,0.9719626168224299
10,0.9192150866462793,0.8239747634069401,0.7922535211267606,0.8444444444444444,0.8940809968847352
15,0.8814984709480123,0.7154574132492113,0.7376760563380281,0.8074074074074075,0.7975077881619937
20,0.8448012232415902,0.6416403785488959,0.6813380281690141,0.8098765432098766,0.7133956386292835
25,0.795361875637105,0.5798107255520505,0.676056338028169,0.674074074074074,0.6542056074766355
30,0.7637614678899083,0.45362776025236595,0.5862676056338029,0.6444444444444445,0.7071651090342679
35,0.7183995922528033,0.3741324921135647,0.5809859154929577,0.6395061728395062,0.6012461059190031
40,0.6577471967380224,0.3305993690851735,0.5052816901408451,0.4765432098765432,0.5295950155763239
45,0.6167176350662589,0.277602523659306,0.5440140845070423,0.4691358024691358,0.4517133956386293
50,0.5652395514780836,0.24227129337539433,0.4612676056338028,0.36049382716049383,0.3862928348909657
0,1.0,1.0,1.0,1.0,1.0
5,0.9597349643221202,0.8990536277602523,0.903169014084507,0.8839506172839506,0.9844236760124611
10,0.9281345565749235,0.8302839116719243,0.8028169014084507,0.8296296296296296,0.8535825545171339
15,0.8929663608562691,0.7034700315457413,0.7235915492957746,0.8222222222222222,0.8161993769470405
20,0.8430173292558614,0.6416403785488959,0.7253521126760564,0.8074074074074075,0.7757009345794392
25,0.8004587155963303,0.5337539432176656,0.6725352112676056,0.6469135802469136,0.7071651090342679
30,0.7762487257900101,0.45930599369085173,0.6144366197183099,0.6790123456790124,0.6012461059190031
35,0.7092252803261978,0.36971608832807573,0.5528169014084507,0.5580246913580247,0.5825545171339563
40,0.6557084607543323,0.31167192429022084,0.5563380281690141,0.5580246913580247,0.5950155763239875
45,0.6011722731906218,0.2593059936908517,0.477112676056338,0.5580246913580247,0.3862928348909657
50,0.5603975535168195,0.25362776025236594,0.41901408450704225,0.4123456790123457,0.45794392523364486
0,1.0,1.0,1.0,1.0,1.0
5,0.9699286442405708,0.9135646687697161,0.8257042253521126,0.9160493827160494,0.9096573208722741
10,0.9273700305810397,0.8277602523659306,0.7693661971830986,0.837037037037037,0.8629283489096573
15,0.891946992864424,0.7362776025236593,0.7323943661971831,0.8246913580246914,0.8068535825545171
20,0.8476044852191641,0.6189274447949527,0.7024647887323944,0.7604938271604939,0.8006230529595015
25,0.7984199796126402,0.5375394321766561,0.6390845070422535,0.7086419753086419,0.6510903426791277
30,0.7617227319062182,0.4466876971608833,0.596830985915493,0.6370370370370371,0.7071651090342679
35,0.6936799184505607,0.3747634069400631,0.5757042253521126,0.6049382716049383,0.5950155763239875
40,0.6595310907237513,0.29652996845425866,0.5299295774647887,0.5160493827160494,0.5077881619937694
45,0.6009174311926605,0.25299684542586753,0.4823943661971831,0.4765432098765432,0.3862928348909657
50,0.5519877675840978,0.24542586750788645,0.448943661971831,0.4222222222222222,0.38317757009345793
0,1.0,1.0,1.0,1.0,1.0
5,0.9643221202854231,0.9230283911671924,0.8538732394366197,0.8617283950617284,0.9158878504672897
10,0.9281345565749235,0.8126182965299684,0.7992957746478874,0.8839506172839506,0.8878504672897196
15,0.886085626911315,0.7312302839116719,0.7711267605633803,0.8197530864197531,0.7757009345794392
