change,jaccard
0,1.3821656050955415
35,0.48905016552075375
5,1.1862298007336178
40,0.48905016552075375
10,0.91071726438698919
45,0.31901431901431904
15,0.94972562648618974
20,0.9422544122544122
25,0.95393755180989226
30,0.74510410224695933
0,1.3821656050955415
35,0.75517709563164126
5,1.2309118998050295
40,0.65200561849498018
10,1.0443399629720385
45,0.66527385657820437
15,0.9458550147944087
20,0.9467605385158574
25,0.93268066543928607
30,0.86766330684241122
0,1.3821656050955415
35,0.6232536402990948
5,1.3590264040595164
40,0.65343614718614706
10,1.1566233766233764
45,0.4678130511463845
15,0.8269001831501831
20,0.58837306971635328
25,0.53349905303030298
30,0.6232536402990948
0,1.3821656050955415
35,0.73928866832092632
5,1.3216873706004137
40,0.7139316239316239
10,1.078317334839074
45,0.65734126984126984
15,0.81823828345567473
20,0.78437259087944011
25,0.77095146637400158
30,0.82145209862601165
0,1.3821656050955415
35,0.80229120473022908
5,1.3231064237775647
40,0.60277653381101648
10,1.0425685425685427
45,0.62554112554112551
15,1.0147294372294373
20,0.88742862828228697
25,0.80480216301111818
30,0.82190629882937583
