change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.95091198423443601,0.028812441520554784,0.98231218849076285,0.012594312027805196,0.94955987428077826,0.049245100791054874,0.96638953931577398,0.033732369838266947
4,0.91704428699473295,0.033704396202268019,0.96769353739920372,0.014094467865811731,0.92012002585263308,0.066703089642973806,0.95430661936165428,0.0417288040580601
6,0.86867429575948418,0.036891647667378749,0.9473089892008234,0.017500019322617258,0.79005619390103843,0.14949616568069457,0.8629074278061889,0.10613652583971141
8,0.81686790234526629,0.046630537215159695,0.92471600399710208,0.0209806177731405,0.71983919515364159,0.12728185600152966,0.84663877688376621,0.079017342141807292
10,0.78356736813882866,0.050907476887763266,0.90442140541990901,0.020415589637640449,0.6211627009493873,0.18848834818019369,0.77239115296856464,0.11920235272468718
12,0.74506940148220469,0.036924461467112223,0.89121796277494547,0.01779500902422864,0.58754154685801363,0.17364903143761973,0.76754855139920519,0.12629929209580892
14,0.71513504265757866,0.043196870396835459,0.87775430361023477,0.019713802840299405,0.67112182780030061,0.12573146129135118,0.71974832242090125,0.11570576240162714
16,0.68136170589101319,0.047670150049379696,0.86452755821599647,0.020370114961815015,0.73748960022709054,0.10261086750959927,0.67516431068386151,0.11467377857444536
18,0.64435771602125447,0.047339160531961286,0.85078398672545652,0.026216890461171597,0.75340083802420621,0.11478758644484902,0.67726230547516342,0.11396520666449655
20,0.60599658347597973,0.043091440227564233,0.83057216036633119,0.023122481651893106,0.76353064467140919,0.10390805129822674,0.68273650599972202,0.13201488382730389
22,0.56530249626937423,0.044962906848509225,0.80412040893349412,0.036048590773881214,0.77029464199019348,0.086095729630193615,0.5898931471305866,0.056121925073807755
24,0.54719357645908195,0.045196218131401872,0.78976591063592938,0.041975021146623659,0.75036267236367682,0.1042096909254296,0.5724603421840625,0.0
26,0.51429566422265505,0.071591994046930271,0.76204131371231099,0.062067455867355764,0.74285883063531188,0.075640105130457394,0.50594834502856856,0.32742427078476177
28,0.49024830973769296,0.077705958983103063,0.74076869088572761,0.068493804390011861,0.73246453477471585,0.073827467462048907,0.74689204688031141,0.025781537354657283
30,0.46432776942307824,0.077197908945549287,0.71913570689889161,0.071209592119444609,0.75072012251925424,0.042520786596257083,0.73769613178566562,0.012331939393565975
32,0.44878246121331039,0.07709759110059243,0.70481088783767687,0.073016829162887334,0.76066980903207992,0.052188532311286069,0.58064779403726674,0.25605124940363516
34,0.41565698964220932,0.1034751347570522,0.68911336544595092,0.11932883472196198,0.75012894950230924,0.097007273995427648,0.57657058090456625,0.25073386653600205
36,0.39058988517048027,0.097102454335183414,0.66416837438950893,0.11403080597338468,0.7490818296392332,0.096937967333514605,0.61101431594401856,0.25700971068534867
38,0.36556180423315027,0.083288522503737805,0.6420151844561971,0.099883192931315437,0.75143655141016241,0.090110846066962194,0.66634927107348785,0.12782723590662273
40,0.35382192576233074,0.094191778357853792,0.63042444254223895,0.12310867774138054,0.74567078979522683,0.10739760892012878,0.65003352196045905,0.16720300863564785
42,0.32305734850319967,0.082933458454855558,0.59355744016601275,0.10912888913461094,0.7230411766601661,0.10675466981991362,0.67609586141175748,0.1733283917417511
44,0.32229316593655111,0.078916655335390162,0.59296470119247702,0.10106262914654918,0.72684351519156287,0.086238559223670574,0.63577017490152488,0.22151937866505764
46,0.29974549855329907,0.070660105819439475,0.56814056522408585,0.087760791852567244,0.71701091219708712,0.082481080044602625,0.68386137520813983,0.16649820372106164
48,0.28332097627391362,0.059774770867173442,0.54379939404431987,0.074575586580073933,0.69650953181804298,0.063311434168910954,0.74095037892344573,0.067256843500383121
