removed_core,frac,error_100,error_20.0,error_10.0,std_10,std_2.0,std_1.0,core,count,degree,clustering,components
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,1,1766,0.03397508493771234,0.0,1736
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,2,894,0.11185682326621924,0.0,844
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,3,590,0.1864406779661017,0.0,535
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,4,510,0.788235294117647,0.0,309
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,5,2090,7.695693779904306,0.009830101006060866,3
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.0,0.0012677843016476408,0.0001203732231529022,0.013376813134448988,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,1,1774,0.05411499436302142,0.0,1726
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,2,906,0.13024282560706402,0.0,847
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,3,600,0.2833333333333333,0.0,515
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,4,592,1.385135135135135,0.0036599099099099103,189
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,5,1628,6.855036855036855,0.011269595372818006,3
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.1,0.00062661599207628393,0.0037817553120287175,0.025315827509915553,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,1,1796,0.051224944320712694,0.0,1750
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,2,896,0.16964285714285715,0.0,820
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,3,583,0.5591766723842195,0.0,420
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,4,739,2.1109607577807847,0.007983761840324764,86
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,5,1124,6.0355871886121,0.012387350978516967,4
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.2,0.00067754812868944412,0.023780783892941432,0.031011309007472732,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,1,1878,0.07454739084132056,0.0,1808
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,2,869,0.2094361334867664,0.0,778
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,3,634,1.110410094637224,0.0018964999248910924,284
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,4,1402,5.663338088445078,0.01254052593840292,1
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,5,16,0.625,0.0,11
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.3,0.00076131993960137272,0.0045354289479213605,0.031723002286906291,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,1,1778,0.10573678290213723,0.0,1684
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,2,883,0.3556058890147225,0.0,726
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,3,716,1.6340782122905029,0.0,167
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,4,936,4.769230769230769,0.013828479213094588,1
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,5,22,0.8181818181818182,0.0,13
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.4,0.00088061787890468025,0.015013441454583585,0.065872153568038175,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,1,1786,0.0851063829787234,0.0,1710
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,2,871,0.642939150401837,0.0,592
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,3,983,3.0844354018311293,0.00618127210192317,27
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,4,291,3.2989690721649483,0.01324933180603284,5
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,5,6,0.0,0.0,6
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.5,0.0007605578467711387,0.012838892736164249,0.048811029038687052,0.0,0.0,0.0,10,268,16.955223880597014,0.1133218661586437,1
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,1,1728,0.1597222222222222,0.0,1590
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,2,896,1.0558035714285714,0.0023065476190476187,426
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,3,774,3.483204134366925,0.006630256048860699,6
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,4,51,1.4901960784313726,0.0457516339869281,14
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,5,9,0.2222222222222222,0.0,8
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.6,0.00062384856680356337,0.0029281946131101636,0.052631806114693924,0.0,0.0,0.0,10,268,16.955223880597014,0.1133218661586437,1
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,1,1653,0.24924379915305506,0.0,1447
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,2,836,1.6100478468899522,0.001993620414673046,196
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,3,460,2.9,0.01151656314699793,11
