change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,0.99999999999999989,0.0,1.0,0.0
2,0.97748346014760712,0.0,0.9247960706501267,0.0,0.90769392741396426,0.0,0.88405087344427835,0.0
4,0.95995755591940102,0.0,0.89943469927783748,0.0,0.86922838831189941,0.0,0.82855308361010616,0.0
6,0.94618769414458903,0.0,0.88220762953975418,0.0,0.84601021238300511,0.0,0.8414675488472324,0.0
8,0.93469686543876929,0.0,0.85302902087938726,0.0,0.84720147537667534,0.0,0.82030083391971309,0.0
10,0.92300230887636059,0.0,0.84635516071933803,0.0,0.82128799415975362,0.0,0.77458729417633332,0.0
12,0.91178485414105392,0.0,0.8385096676185555,0.0,0.80452525274216635,0.0,0.75126197987009369,0.0
14,0.90372967061483567,0.0,0.82922654375720029,0.0,0.79702901407088089,0.0,0.70898568457802014,1.9908270529535145e-285
16,0.89492738650932457,0.0,0.81695673014876025,0.0,0.78190263547042604,0.0,0.71391369652371495,2.2262854558714848e-289
18,0.88465397984909377,0.0,0.81242395497309428,0.0,0.78802471114889039,0.0,0.72806256361722221,7.0900413835041766e-301
20,0.87509176661576071,0.0,0.80325192620145058,0.0,0.78272998791817305,0.0,0.71960622396497764,5.6117087247972625e-294
22,0.86579822650252969,0.0,0.78700627524976097,0.0,0.76081135091142105,0.0,0.69879619945526728,2.4135022770867379e-277
24,0.85700972659117036,0.0,0.7818441923358963,0.0,0.75149881477446834,0.0,0.71779048569885251,1.6589338792727872e-292
26,0.84750060751094058,0.0,0.77718617015116531,0.0,0.71147533482969172,0.0,0.69722512009810733,4.1556073348876407e-276
28,0.84012061557985707,0.0,0.78020471994249097,0.0,0.71789581851618911,0.0,0.69756274457015299,2.2555664919669839e-276
30,0.83143583796062914,0.0,0.76264331412136643,0.0,0.71815980007676083,0.0,0.67449714882285638,1.542664243086903e-258
32,0.82373771150648623,0.0,0.75311060810704966,0.0,0.69590980909576816,0.0,0.64146191770546335,4.8912142058960216e-234
34,0.81618586376092517,0.0,0.73647542859307036,0.0,0.68855353194674129,0.0,0.67007069030100452,3.4871887600838815e-255
36,0.80586248335422528,0.0,0.7225802873360222,0.0,0.67968514927459933,0.0,0.66668640491766384,1.236197443023327e-252
38,0.79786572439004844,0.0,0.70779293246743324,0.0,0.66256546467492539,0.0,0.66095442849208552,2.4042356627849896e-248
40,0.79003039031792877,0.0,0.71668180142782578,0.0,0.67252793451429549,0.0,0.66618387742741814,2.9483366925676949e-252
42,0.78034879290111969,0.0,0.7238332821504011,0.0,0.65900281581354769,0.0,0.64909279847488655,1.3769099126102655e-239
44,0.77223585102692016,0.0,0.72219157424483671,0.0,0.66319360755113899,0.0,0.62682788501020559,1.4143171607624044e-223
46,0.76297616853157624,0.0,0.70600119281030027,0.0,0.65779508969052558,0.0,0.64920560123674265,1.1385817347767654e-239
48,0.75404469659204043,0.0,0.69529055610619894,0.0,0.65067832868657471,0.0,0.63788460820414605,1.8574000632197356e-231
50,0.74370435176985428,0.0,0.6658272835757818,0.0,0.65419080226127158,0.0,0.62788818763151988,2.51586007937323e-224
52,0.7321866828394209,0.0,0.63784074115133105,0.0,0.59868456587369367,0.0,0.64435630138640154,3.9068532916323576e-236
54,0.72305802803469932,0.0,0.65042428925888318,0.0,0.61112826380423524,0.0,0.63931895149873519,1.7233498062837102e-232
56,0.71250816015971996,0.0,0.6627547430206624,0.0,0.64338458338393223,0.0,0.64027849579726803,3.5021912980686617e-233
58,0.70132642988831695,0.0,0.6586364515299975,0.0,0.62877170664380155,0.0,0.61200706440031882,3.159558424055073e-213
