Edges,P2P-Our,P2P-Brute,Hamster-Our,Hamster-Brute
1,1273.43,547.71,18.35,11.45
2,1273.76,,30.41,20.36
3,1273.96,,30.52,73.33
4,1274.29,,30.65,320.86
5,1274.45,,30.75,800.81
6,1274.82,,30.84,813.53
7,1274.98,,30.93,1084.02
8,1275.32,,31.03,2790.11
9,1275.49,,31.13,2826.14
10,1275.83,,31.24,4844.52
