U06675	U13406
U12748	U00986
U83056	U66005
U53528	U21863
U00544	U67171
U24151	U45040
U00854	U51101
U10673	U04849
U48941	U45883
U02004	U36177
U05596	U62055
U22128	U13406
U39474	U59056
U02749	U72408
U67308	U05009
U11450	U23684
U25301
U49231	U03334
U57703	U00817
U57697	U06980
U21449	U25890
U71175	U00806
U20175	U53828
U50729	U37656
U57977	U29180
U69044	U44174
U01801	U18841
U04849	U35514
U63265	U70719
U77384	U50078
U35397	U05002
U01224	U13881
U35825	U14249
U01081	U94971
U30694	U86138
U42081	U76293
U43372	U08582
U53091	U37396
U82335	U06763
U46336	U14096
U02131	U33868
U77081	U60452
U51187	U94533
U20781	U19203
U32346	U25033
U06524	U11990
U22888	U69234
U11339	U56126
U33043	U79127
U10889	U22628
U03392	U30669
U00430	U58064
U91936	U01332
U03587	U38934
U09656	U07950
U82938	U24888
U68666	U89853
U38371	U06478
U20229	U17838
U17811	U63114
U02966	U35961
U06545	U12166
U00339	U34856
U86393	U01712
U13967	U35258
U24723	U03423
U22063	U34824
U11599	U01105
U23708	U01765
U26720	U44646
U64227	U11254
U30923	U13109
U56491	U03432
U00144	U29967
U37149	U60578
U03967	U83199
U04910	U13015
U03822	U40521
U78464	U71963
U29039	U61963
U21953	U53095
U20154	U05507
U89162	U07601
U07372	U52546
U28282	U01970
U65508	U07426
U01825	U71150
U01237	U77470
U13621	U08163
U20496	U02116
U32373	U64196
U52099	U19196
U36787	U26711
U53764	U19470
U18391	U57995
U02435	U69313
U69302	U27434
U14431	U00059
U60063	U13263
U54057	U06626
U02882	U70621
U03386	U14515
U62024	U33637
U00030	U02120
U61972	U02196
U10078	U71385
U05232	U20920
U21819	U23545
U08743	U09460
U05684	U68022
U02860	U42254
U06670	U69499
U01524	U03188
U42195	U50092
U48548	U92117
U00010	U75176
U10429	U89870
U03838	U17274
U40166	U00884
U11209	U01071
U03018	U66873
U31839	U27354
U27874
U02350	U09960
U89854	U12898
U07642	U75768
U34477	U67586
U06250	U08841
U39084	U07473
U40519	U05654
U07999	U29078
U10121	U04807
U39126	U36260
U02498	U54829
U07991	U84126
U15733	U18832
U46308	U00523
U37527	U03081
U31319	U01664
U25705	U28801
U45063	U02805
U14096	U18326
U02182	U68203
U09974	U19574
U56718	U04186
U03319	U79869
U05090	U63012
U06215	U37182
U15932	U05796
U15541	U28671
U61931	U06471
U55252	U02768
U39693	U22104
U75245	U00640
U03098	U72931
U22355	U34221
U06188	U83763
U92213	U28637
U05937	U00774
U10577	U18153
U48690	U80176
U16366	U12898
U90464	U00565
U05447	U48330
U33380	U37356
U47097
U58482	U06908
U38657	U02057
U02552	U73189
U06074	U08271
U19420	U03443
U11681	U06195
U00045	U11138
U01226	U69657
U44169	U32210
U04711	U78301
U13942	U47393
U32848	U09551
U21221	U06283
U00754	U09896
U07302	U87868
U42500
U04979	U41838
U01667	U90687
U06443	U15716
U44767	U47485
U00414	U74624
U01451	U17310
U00276	U12493
